,time,device,type,logMessage,details
0,02/25/2021 06:35:55.01,SW1,Info,02/25/2021 06:35:55.01 <Info:vlan.dbg.info> Media 1000T is inserted into Port 25,"{""time"": ""02/25/2021 06:35:55.01"", ""type"": ""Info:vlan.dbg.info"", ""Media"": ""1000T"", ""action"": ""insert"", ""port"": ""25""}"
0,Apr 30 16:04:13,CCT1,Info,Apr 30 16:04:13 CCT1 abrtd: Directory 'ccpp-2021-04-30-16:04:08-5888' creation detected,"{""time"": ""Apr 30 16:04:13"",""type"": ""Info"", ""Action"":""Directory creation detected""}"
0,May  6 09:49:07,CCT1,Info,May  6 09:49:07 CCT1 kernel: BIOS-e820: 0000000000000000 - 000000000008e000 (usable),"{""time"": ""Apr 30 16:04:13"",""type"": ""Info"", ""BIOS-e820"":""0000000000000000 - 000000000008e000 (usable)""}"
0,May  6 09:49:07,CCT1,Info,May  6 09:49:07 CCT1 kernel: BIOS-e820: 000000000008e000 - 0000000000090000 (reserved),"{""time"": ""Apr 30 16:04:13"",""type"": ""Info"", ""BIOS-e820"":""000000000008e000 - 0000000000090000 (reserved)""}"
0,May 23 04:20:01,DGS-SVR,Info,May 23 04:20:01 DGS-SVR CROND[243335]: (root) CMD (/usr/lib64/sa/sa1 1 1),"{""time"":""May 23 04:20:01"",""type"":""Info"",""CMD"":""(/usr/lib64/sa/sa1 1 1)""}"
0,May 23 05:20:01,DGS-SVR,Info,May 23 05:20:01 DGS-SVR CROND[243335]: (root) CMD (/usr/lib64/sa/sa1 1 1),"{""time"":""May 23 05:20:01"",""type"":""Info"",""CMD"":""(/usr/lib64/sa/sa1 1 1)""}"
0,May 23 06:01:01,DGS-SVR,Info,May 23 06:01:01 DGS-SVR CROND[243335]: (root) CMD (/usr/lib64/sa/sa1 1 1),"{""time"":""May 23 06:01:01"",""type"":""Info"",""CMD"":""(/usr/lib64/sa/sa1 1 1)""}"
0,May 23 07:00:01,DGS-SVR,Info,May 23 04:20:01 DGS-SVR CROND[243335]: (root) CMD (/usr/lib64/sa/sa1 1 1),"{""time"":""May 23 07:00:01"",""type"":""Info"",""CMD"":""(/usr/lib64/sa/sa1 1 1)""}"
0,May 24 09:13:18,SAR1STR1,Info,May 24 09:13:18 SAR1STR1 sshd[12507]: Accepted publickey for adacs from 192.168.69.101 port 41017 ssh2,"{""time"":""May 24 09:13:18"",""type"":""Info"",""Action"":""Accepted publickey"",""IP"":""192.168.69.101"",""port"":""41017""}"0,02/25/2021 06:35:55.01,SW1,Info:vlan.dbg.info,02/25/2021 06:35:55.01 <Info:vlan.dbg.info> Media 1000T is inserted into Port 25,"{""time"": ""02/25/2021 06:35:55.01"", ""type"": ""Info:vlan.dbg.info"", ""Media"": ""1000T"", ""action"": ""insert"", ""port"": ""25""}"
0,02/25/2021 06:35:53.41,SW1,Info:vlan.dbg.info,02/25/2021 06:35:53.41 <Info:vlan.dbg.info> Media 1000T is removed from Port 25,"{""time"": ""02/25/2021 06:35:53.41"", ""type"": ""Info:vlan.dbg.info"", ""Media"": ""1000T"", ""action"": ""remove"", ""port"": ""25""}"
